"# of Use","počet použití"
"Please click on the Close Window button if it is not closed automatically.","Prosím klikněte na X (zavřít), pokud se okno nezavře automaticky."
"Please enter a new group name","Zadejte nové jméno skupiny"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Prosím obnovte ""Přepis katalogových URL"" a ""Vlastnosti produktu"" v Systém -> <a href=""%s"">Správa indexů</a>"
"Please select a static block ...","Vyberte prosím statický blok..."
"Please select items.","Prosím vyberte položky."
"Please select one or more attributes.","Označte jednu nebo více vlastností."
"Please select product(s).","Prosím vyberte produkt(y)."
"Please select products for attributes update","Označte produkty pro upravení vlastností"
"Please specify date required option(s).","Prosím specifikujte vyžadované vlastnosti data."
"Please specify the product required option(s)","Prosím specifikujte vyžadované možnosti produktu"
"Please specify the product required option(s).","Prosím specifikujte vyžadované možnosti produktu."
"Please specify the product\'s option(s).","Prosím specifikujte možnosti produktu."
"Please specify the product\'s required option(s).","Prosím specifikujte vyžadované možnosti produktu."
"Please specify the product's option(s).","Prosím zadejte možnost(i) produktu."
"Please specify the product's required option(s).","Prosím specifikujte vyžadované možnosti produktu."
"Please specify the quantity of product(s).","Upřesněte množství produktů."
"Please specify time required option(s).","Prosím specifikujte vyžadované vlastnosti času."
"Please wait...","Prosím čekejte..."
"Position","Pozice"
"Position in Layered Navigation","Umístění ve vrstvě navigace"
"Position of attribute in layered navigation block","Umístění atributu ve vrstvě navigačního bloku"
"Prev","Předchozí"
"Previous","Předchozí"
"Price","Cena"
"Price Navigation Step Calculation","Cena - krok navigace Výpočet"
"Price Type","Typ ceny"
"Price is not available","Cena není dostupná"
"Price values for options should be specified in system base currency.","Nastavení hodnoty ceny může být specifikováno v systému ve výchozí měně."
"Price:","Cena:"
"Price: %s","Cena: %s"
"Print This Page","Vytisknout tuto stránku"
"Product","Produkty"
"Product API","API Produktů"
"Product Alerts","Výstrahy pro produkt"
"Product Attribute","Vlastnost produktu"
"Product Attributes","Vlastnost produktu"
"Product Categories","Kategorie produktu"
"Product Description","Popis produktu"
"Product Extra Info","Extra informace pro produkt"
"Product Flat Data","Sloučit data produktů"
"Product ID","ID Produktu"
"Product Image Placeholders","Náhrada obrázků produktu"
"Product Image Watermarks","Vodoznak obrázků produktu"
"Product Images","Obrázky produktů"
"Product Images API","API obrázků produktů"
"Product In Websites","Produkt na webových stránkách"
"Product Info Column","Informační sloupec produktu"
"Product Information","Informace o produktu"
"Product Link Block Template","Šablona bloku odkazů na produkty"
"Product Link Inline Template","Šablona vnořených odkazů na produkty"
"Product Listing Sort by","Výpis produktů řadit dle"
"Product Name","Název produktu"
"Product Prices","Ceny produktu"
"Product Reviews","Recenze produktů"
"Product Tags","Štítky produktu"
"Product Tier Price API","API slev produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Přidat na konec URL produktu"
"Product View Extra Hint","Zobrazit extra nápovědu pro produkt"
"Product attribute sets API","API množiny vlastností produktu"
"Product attributes API","API vlastností produktu"
"Product collection expected.","Byla očekávána kolekce produktů."
"Product is not loaded","Produkt není načten"
"Product links API (related, cross sells, up sells)","Odkazy API produktů (odpovídající, cross sells, up sells)"
"Product name","Název produktu"
"Product types API","API typu produktu"
"Product with this combination of attributes already associated to configurable.","Produkt s kombinací těchto vlastností už je asociován ke konfiguraci."
"Products","Produkty"
"Products Comparison List","Seznam porovnávaných produktů"
"Products Information","Informace o produktu"
"Products Reviews","Recenze produktů"
"Products Sitemap","Mapa produktů"
"Products only","Pouze produkty"
"Products per Page on Grid Allowed Values","Povolené hodnoty pro tabulku produktů na stránku"
"Products per Page on Grid Default Value","Výchozí hodnota pro počet produktů na stránce pro tabulku"
"Products per Page on List Allowed Values","Povolené hodnoty pro seznam produktů na stránku"
"Products per Page on List Default Value","Výchozí hodnota pro počet produktů na stránce pro seznam"
"Properties","Vlastnosti"
"Qty","Množství"
"Qty Increments","Množství přírůstku"
"Qty Uses Decimals","Množství používá desetiny"
"Qty for Item's Status to become Out of Stock","Minimální množství pro stav Vyprodáno"
"Qty:","Množství:"
"Quantity","Množství"
"Quick Create","Rychlé vytvoření"
"Quick Overview","Rychlý přehled"
"Quick simple product creation","Rychlé vytvoření jednoduchého produktu"
"Records for ""","Záznamy pro """
"Redirect","Přesměrování"
"Redirect URL","Přesměrování URL"
"Regular Price:","Běžná cena:"
"Related Products","Související produkty"
"Remove","Odstranit"
"Remove Product From Websites","Odstranit produkt ze stránek"
"Remove This Item","Odstranit tuto položku"
"Remove product assignment","Odstranit přiřazení produktu"
"Remove product image","Odstranit obrázek produktu"
"Remove product link","Odstranit odkaz produktu"
"Reorganize EAV category structure to flat structure","Přeorganizovat strukturu EAV kategorie na strukturu flat (sloučené)"
"Reorganize EAV product structure to flat structure","Přeorganizovat strukturu EAV produktů na strukturu flat (sloučené)"
"Reset","Vynulovat"
"Results","Výsledky"
"Retrieve attribute data","Načíst data atributů"
"Retrieve attribute list","Získat seznam vlastností"
"Retrieve attribute options","Získat možnosti vlastností"
"Retrieve categories tree","Získat strom kategorií"
"Retrieve category attributes","Získat vlastnosti kategorie"
"Retrieve category data","Získat data kategorie"
"Retrieve hierarchical tree","Získat hierarchický strom"
"Retrieve linked products","Získat odkazy produktů"
"Retrieve list of assigned products","Získat seznam přiřazených produktů"
"Retrieve one level of categories by website/store view/parent category","Získat jednu vrtstvu z kategorií ze stránek/obchodu pohled/rodičovská kategorie"
"Retrieve product","Získat produkt"
"Retrieve product attribute sets","Získat množinu vlastností produktu"
"Retrieve product image","Získat obrázek produktu"
"Retrieve product image list","Obdržet seznam obrázků produktu"
"Retrieve product image types","Získat typ obrázku produktu"
"Retrieve product link type attributes","Získat typy vlastností odkazu produktů"
"Retrieve product link types","Získat typ odkazu produktu"
"Retrieve product tier prices","Získat slevy produktu"
"Retrieve product types","Získat typy produktu"
"Retrieve products data","Získat data produktu"
"Retrieve products list by filters","Získat seznam filtrovaných produktů"
"Reviews","Hodnocení"
"Roll Over for preview","Otočit pro náhled"
"Root","Kořen"
"SKU","SKU"
"SKU length should be %s characters maximum.","Délka SKU může být maximálně %s."
"Save","Uložit"
"Save Attribute","Uložit vlastnosti"
"Save Attribute Set","Uložit množinu vlastností"
"Save Category","Uložit kategorii"
"Save Search","Uložit hledání"
"Save and Continue Edit","Uložit a pokračovat v úpravách"
"Saved %d record(s)","Uloženo záznamů: %d."
"Scope","Rozsah"
"Search","Hledání"
"Search Engine Optimizations","Optimalizace pro vyhledávání"
"Search Information","Informace o hledání"
"Search Query","Vyhledávací dotaz"
"Search Term with such search query already exists.","Vyhledávaný výraz s tímto dotazem již existuje."
"Searchable","Prohledávatelný"
"Select Category...","Vybrat kategorii..."
"Select Configurable Attributes ","Vybrat nastavitelné vlastnosti"
"Select Product...","Vybrat produkt..."
"Select type of option","Vyberte typ možnosti"
"Select type options required values rows.","Vyberte požadované hodnoty řádků."
"Selected Product Types","Vybrané typy produktů"
"Selected configuration is not available.","Vybraná konfigurace není dostupná."
"Send Count","Odeslat množství"
"Set Ascending Direction","Nastavit vzestupně"
"Set Descending Direction","Nastavit sestupně"
"Set Name","Nastavit jméno"
"Set Root Category for Store","Nastavit hlavní kategorii pro obchod"
"Set root category for this store in the <a href=""%s"">configuration</a>","Nastavte hlavní kategorii pro tento obchod v <a href=""%s"">nastavení</a>"
"Set special price","Nastavit speciální cenu"
"Set/Get current store view","Nastavit/získat pohled aktuálního obchodu"
"Settings","Nastavení"
"Shop By","Nakupovat dle"
"Shopping Options","Nákupní volby"
"Short Description","Krátký popis"
"Show","Ukázat"
"Show Details","Zobrazit detaily"
"Show Tags","Ukázat štítky"
"Simple Product","Jednoduchý produkt"
"Site Map","Mapa stránek"
"Sitemap","Mapa stránek"
"Skip import row, is not valid value ""%s"" for field ""%s""","Přeskakuji import řádků, neplatná hodnota ""%s"" pro pole ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Přeskakuji import řádku, vyžadované pole ""%s"" pro nového zákazníka není definováno."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Přeskakuji import řádku, neplatná hodnota ""%s"" pro pole ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Přeskakuji import řádku, požadované pole ""%s"" pro nový produkt není definováno."
"Skipping import row, required field ""%s"" is not defined.","Přeskakuji import řádku, požadované pole ""%s"" není definované."
"Skipping import row, store ""%s"" field does not exist.","Přeskakuji import řádku, obchod ""%s"" pole neexistuje."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Přeskakuji import řádku, neplatná hodnota ""%s"" pro pole ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Některé ze zpracovávaných produktů nemají definováno SKU. Prosím vyplňte jej před provedením operací."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Některý z produktů uvedených níže neobsahuje všechny vyžadované položky. Prosím upravte je a vyplňte všechny požadované vlastnosti."
"Sort By","Seřadit podle"
"Sort Order","Pořadí objednávek"
"Source Model","Zdrojový model"
"Special Expires On: %s","Akční cena končí: %s"
"Special Price:","Zvláštní cena:"
"Special Price: %s","Akční cena: %s"
"Starting at:","Začít v:"
"Static","Pevný"
"Static block and products","Statický blok a produkty"
"Static block only","Pouze statické bloky"
"Status","Stav"
"Stock Availability","Skladová dostupnost"
"Store","Obchod"
"Store View","Obchod Pohled"
"Stretch","Natáhnout"
"Subscribe to RSS Feed","Odebírat RSS zdroj"
"Super product attributes configuration","Konfigurace vlastností superproduktů"
"Synonym For","Synonyma pro"
"System Properties","Vlastnosti systému"
"Tag Name","Jméno štítku"
"Tax","DPH"
"Template","Šablona"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Modul flat katalogu má limit %2\$d filtrovatelných a/nebo třídících vlastností. Momentálně je %1\$d. Prosím zredukujte počet filtrovatelných/třídících vlastností v objednávce pro možné použití tohoto modulu."
"The attribute model is not defined","Model vlastnosti není definován"
"The attribute set has been saved.","Množina vlastností byla uložena."
"The base directory to upload file is not specified.","Není specifikován výchozí adresář pro nahrávání souborů."
"The category has been deleted.","Kategorie byla smazána."
"The category has been saved.","Kategorie byla uložena."
"The comparison list was cleared.","Seznam porovnání byl úspěšně smazán."
"The email template is not specified by administrator.","Šablona emailu není vybrána administrátorem."
"The file '%s' for '%s' has an invalid extension","Soubor '%s' pro '%s' má neplatnou příponu"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Soubor '%s' který nahráváte je větší než %s MB povolených na Vašem serveru"
"The file you uploaded is larger than %s Megabytes allowed by server","Soubor který nahráváte je větší než %s MB povolených na Vašem serveru"
"The filters must be an array.","Filtry musí být pole."
"The image contents is not valid base64 data.","Obsah obrázku nemá platná data base64."
"The image is not specified.","Obrázek není specifikovaný."
"The product %s has been added to comparison list.","Produkt %s byl přidán do seznamu k porovnání."
"The product %s has been removed from comparison list.","Produkt %s byl odebrán ze seznamu porovnání."
"The product attribute has been deleted.","Vlastnost produktu byla smazána."
"The product attribute has been saved.","Vlastnost produktu byla uložena."
"The product has been created.","Produkt byl vytvořen."
"The product has been deleted.","Produkt byl smazán."
"The product has been duplicated.","Produkt byl duplikován."
"The product has been saved.","Produkt byl uložen."
"The product has required options","Produkt má vyžadovaná nastavení"
"The review has been deleted","Recenze byla smazána"
"The review has been saved.","Recenze byla uložena."
"The review was removed by another user or does not exist.","Recenze byla odstraněna jiným uživatelem a nebo neexistuje."
"The search was deleted.","Hledání bylo smazáno."
"The text is too long","Délka textu je příliš dlouhá"
"There are no %s available.","%s není dostupný."
"There are no customers for this alert","Nejsou zákazníci pro toto varování"
"There are no customers for this alert.","Nejsou zákazníci pro toto varování."
"There are no products matching the selection.","Výběru neodpovídá žádná položka."
"There was an error while request processing.","Došlo k chybě při zpracování požadavku."
"This Attribute no longer exists","Tato vlastnost již neexistuje"
"This attribute cannot be deleted.","Tuto vlastnost nelze smazat."
"This attribute cannot be edited.","Tato vlastnost nemůže být upravena."
"This attribute cannot be updated.","Vlastnost nemůže být aktualizována."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Tato skupina obsahuje vlastnosti používané v konfigurovatelném produktu, nelze ji proto odebrat z množiny vlastností."
"This attribute no longer exists","Tato vlastnost již dlouho neexistuje"
"This attribute set no longer exists.","Tato množina vlastností již neexistuje."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Tato skupina obsahuje vlastnosti používané v konfigurovatelném produktu. Přesuňte tyto vlastnosti do jiné skupiny a zkuste to znovu."
"This group contains system attributes. Please move system attributes to another group and try again.","Tato skupina obsahuje systémové vlastnosti. Přesuňte systémové vlastnosti do jiné skupiny a zkuste to znovu."
"This is a required option","Toto je vyžadovaná vlastnost"
"This product no longer exists.","Tento produkt již neexistuje."
"This search no longer exists.","Toto vyhledávání již neexistuje."
"Tier Pricing","Množstevní sleva"
"Tile","Dlaždice"
"Time Format","Formát času"
"Title","Nadpis"
"To reindex the enabled product(s), the store or product must be specified.","Pro přeindexování povolených produktů musíte specifikovat obchod."
"Top/Left","Nahoře/vlevo"
"Top/Right","Nahoře/vpravo"
"Total Qty Base Items","Celkový počet položek základu"
"Total incl. Tax: %1$s","Celkem s daní: %1$s"
"Total of %d record(s) have been deleted.","Celkem smazaných záznamů: %d."
"Total of %d record(s) have been updated.","Celkem aktualizovaných záznamů: %d."
"Type","Typ"
"URL Rewrite Management","Správa přepisů URL"
"Unable to complete this request.","Nelze dokončit požadavek."
"Unable to find a search term to delete.","Nenalezen vyhledávací výraz k smazání."
"Unable to find an attribute to delete.","Nenalezena vlastnost k smazání."
"Unable to get the product ID.","Nelze získat id produktu."
"Unassigned Attributes","Nepřiřazené vlastnosti"
"Unknown EAV indexer type ""%s"".","Neznámý typ indexu eav ""%s""."
"Unknown attribute: %s.","Neznámý atribut: %s."
"Unsupported product type ""%s"".","Nepodporovaný typ produktu ""%s""."
"Up-sells","Doporučit"
"Update","Aktualizovat"
"Update Attributes","Aktualizovat vlastnosti"
"Update Tier Price","Aktualizovat slevy produktu"
"Update assigned product","Aktualizovat přiřazené produkty"
"Update attributes","Aktualizovat vlastnosti"
"Update category","Aktualizovat kategorii"
"Update product","Aktualizovat produkt"
"Update product image","Aktualizovat obrázek produktu"
"Update product link","Aktualizovat odkaz produktu"
"Update product tier prices","Aktualizovat slevy produktu"
"Upload new product image ","Nahrát nový obrázek k produktu"
"Url Rewrite Management","Správa přepisů URL"
"Use Canonical Link Meta Tag For Categories","Použít Canonical Link Meta Tag pro kategorie"
"Use Canonical Link Meta Tag For Products","Použít Canonical Link Meta Tag pro produkty"
"Use Categories Path for Product URLs","Použít cestu kategorie pro URL produktu"
"Use Config Settings","Použijte konfiguraci nastavení"
"Use Default Value","Použít výchozí hodnotu"
"Use Flat Catalog Category","Použít Flat katalog kategorií"
"Use Flat Catalog Product","Použít Flat katalog produktů"
"Use In Layered Navigation","Užijte ve vrstvách navigace"
"Use In Search Results Layered Navigation","Použít ve vrstvách navigace vyhledávání"
"Use JavaScript Calendar","Použít javascriptový kalendář"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Použít statickou URL pro mediální obsah ve WYSIWYG editoru pro katalog"
"Use To Create Configurable Product","Použít pro vytvoření konfigurovatelného produktu"
"Use Tree Like Category Sitemap","Použít stromovou strukturu mapy stránek kategorií"
"Use config","Použít nastavení"
"Use default","Použít výchozí"
"Use for Promo Rule Conditions","Použít pro pravidla cen"
"Use four-digit year format.","Použít čtyřmístný formát roku."
"Use in Advanced Search","Použít v pokročilém vyhledávání"
"Use in Layered Navigation","Použít ve vrstvách navigace"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Používá se ve vrstvách navigace<br/>(Může být použito pouze se vstupem typu 'Rozbalovací menu')"
"Use in Quick Search","Použít v rychlém hledání"
"Used for Sorting in Product Listing","Použito pro třídění při výpisu produktů"
"Used in Product Listing","Použito v seznamu produktů"
"Value for ""%s"" is invalid.","Hodnota pro ""%s"" je chybná."
"Value for ""%s"" is invalid: %s","Hodnota pro ""%s"" je chybná: %s"
"Varchar","Varchar"
"View as","Zobrazit jako"
"View all","Zobrazit vše"
"Virtual Product","Virtuální produkt"
"Visibility","Viditelnost"
"Visible","Viditelné"
"Visible on Catalog Pages on Front-end","Viditelné v katalogu"
"Visible on Product View Page on Front-end","Viditelné na stránce produktů"
"WYSIWYG Editor","WYSIWYG editor"
"Watermark","Vodoznak"
"Watermark Default Size","Výchozí velikost vodoznaku"
"Watermark Opacity, Percent","Intenzita vodoznaku v procentech"
"Watermark Position","Pozice vodoznaku"
"We Also Recommend","Doporučujeme"
"Website","Webové stránky"
"Websites","Webové stránky"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Povolit ""Zobrazit vše"" v rozbalovacím menu ""Zobrazit X na stránku""."
"Wrong BuyRequest instance in options group.","Špatný nákupní požadavek v nákupní možnosti."
"Wrong configuration item instance in options group.","Špatné nastavení položky např. v možnosti skupiny."
"Wrong configuration item option instance in options group.","Špatné nastavení možnosti položky například v možnosti skupiny."
"Wrong option instance type in options group.","Chybná volba typu instance v možnostech skupiny."
"Wrong option type to get group instance.","Chybný typ možnosti při získávání instance skupiny."
"Wrong product instance type in options group.","Chybný typ instance produktu ve skupině možností."
"Wrong product type filter specified","Zvolen chybný typ filtru produktu"
"Wrong product type to extract configurable options.","nesprávný typ produktu pro získání nastavitelných možností."
"Year Range","Rozsah roků"
"Yes","Ano"
"You cannot email this product to a friend.","Informace o tomto produktu nelze odeslat emailem."
"You cannot remove system attribute from this set.","Nemůžete odebrat systémovou vlastnost z této skupiny."
"You cannot send more than %d emails at a time.","Nemůžete odeslat více jak %d emailů v nastaveném časovém úseku."
"You have exceeded limit of %d sends in an hour.","Překročili jste povolený limit posílání za hodinu (%d)."
"You have no items to compare.","Nevybrali jste položky k porovnání."
"You have to specify at least one recipient.","Musíte vybrat alespoň jednoho příjemce."
"You may also be interested in the following product(s)","Možná Vás zaujme i následující "
"Zoom In","Přiblížit"
"Zoom Out","Oddálit"
"[GLOBAL]","[GLOBÁLNÍ]"
"and","a"
"categories","Kategorie"
"each","každý"
"ex. http://domain.com","například: http://domain.com"
"leave blank if its not an image","ponechte prázdné pokud to není obrázek"
"per page","na stránku"
"products","produkty"
"px.","px."
"save","ušetříte"
"select all","Vybrat vše"
"unselect all","Odznačit vše"
"x","x"
"Attribute Set no longer exists.","Množina vlastností již neexistuje"
"Category delete error","Chyba při mazání kategorie"
"Compare Products List","Seznam porovnávaných produktů"
"Error while saving search query. Please try again later.","Chyba při ukládání vyhledávání. Prosím zkuste to později."
"#~ ""Error while saving this group. Group with the same name already exists.""","Chyba při ukládání skupiny. Skupina s tímto jménem již existuje."
"Not defined Product Type for Indexer","Nedefinován typ produktu pro indexer"
"Please specify the product(s) quantity","Prosím specifikujte množství produktů"
"Product saving error. ","Chyba při ukládání produktu."
"Review successfully deleted","Recenze úspěšně smazány"
"Review was successfully saved","Recenze úspěšně uloženy"
"Saved ","Uloženo "
"Synonym for","Synonyma pro"
"URL rewrite save problem.","Chyba při ukládání URL aliasu."
"You cannot delete this attribute","Nemůžete smazat tuto vlastnost"
"You cannot edit this attribute","Nemůžete upravovat tuto vlastnost"
"You cannot update this attribute","Nemůžete upravit tuto vlastnost"
"and","a"
"and above","a více"
"categories","kategorie"
"each","každý"
"ex. http://domain.com","např. http://domain.com"
"leave blank if its not an image","nechte prázdné pokud se nejedná o obrázek"
"per page","na stránku"
"products","produkty"
"px.","px."
"save","uložit"
"select all","vybrat vše"
"unselect all","odznačit vše"
"x","x"
"Quick View","Náhled"
"Details","Detaily"