"%s %s cycle.","%s %s cyklů."
"--Please Select--","-- Prosím vyberte --"
"3D Secure Card Validation","3D ověření platební karty"
"3D Secure Credit Card Validation","3D ověření platební karty"
"<label>Make Check payable to:</label> %s","<label>Vyrobit šek splatný pro</label>: %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.",""
"Allow Initial Fee Failure","Povolit nezaplacení počátečního poplatku"
"An internal reference ID is required to save the payment profile.","Interní referenční ID je povinné pro uložení platebního profilu."
"Auto Bill on Next Cycle","Automaticky fakturovat v příštím období"
"Automatically Invoice All Items","Vyfakturovat automaticky všechny položky"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automaticky naúčtovat nedoplatek v příštím zúčtovacím období (pokud došlo k chybě platby)."
"Billing Agreement status is not set.","Stav platebních podmínek není nastaven."
"Billing Amount","Částka fakturace"
"Billing Frequency","Četnost fakturace"
"Billing Period","Fakturační období "
"Billing Period Unit","Jednotka fakturačního období"
"Billing period unit is not defined or wrong.","Jednotka četnosti fakturace není definována, nebo je chybná."
"Cannot retrieve payment method instance.","Nelze získat instanci modelu platby"
"Cannot retrieve the payment info model object.","Nelze obdržet informace z modelu objektu platby."
"Cannot retrieve the payment method model object.","Nelze získat metody platby z modelu objektu."
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Šek / hotovostní platba"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Credit Card Types","Typ platební karty"
"Currency","Měna"
"Currency code is undefined.","Kód měny není definován."
"Customer ID is not set.","ID zákazníka není nastaveno."
"Day","Den"
"Debug Mode","Testovací režim"
"Enabled","Aktivní"
"Expiration Date","Datum platnosti"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Celé jméno osoby, která přijímá produkt nebo službu placenou opakujícími se platbami."
"Initial Fee","Počáteční poplatek"
"Initial non-recurring payment amount due immediately upon profile creation.","Počáteční neopakující se částky ihned po vytvoření profilu."
"Internal Reference ID","ID vnitřního odkazu"
"Issue Number","Číslo požadavku"
"Make Check Payable to","Vyrobit šek splatný pro"
"Make Check payable to:","Vyrobit šek splatný pro:"
"Make Check payable to: %s","Vyrobit šek splatný pro: %s"
"Maximum Billing Cycles","Maximální počet fakturačních cyklů"
"Maximum Order Total","Maximální objednávka"
"Maximum Payment Failures","Maximální počet selhání plateb"
"Maximum Trial Billing Cycles","Maximální počet cyklů zkušebního období"
"Merchant Id","Id obchodníka"
"Minimum Order Total","Minimální objednávka"
"Month","Měsíc"
"N/A","nedefinováno"
"Name on Card","Jméno na kartě"
"Name on the Card","Jméno na kartě"
"Name on the Card: %s","Jméno na kartě: %s"
"New Order Status","Nový stav objednávky"
"Number of billing periods that make up one billing cycle.","Počet zúčtovacích období, které tvoří jeden zúčtovací cyklus."
"Overrides API URL that may be specified by a payment method.","Overrides API URL that may be specified by a Payment Method"
"Password","Heslo"
"Payment ID: %s","ID platby: %s"
"Payment Method","Platební metoda"
"Payment Methods","Platební metoda"
"Payment Methods Section","Platební metody"
"Payment Reference ID","Platební metoda"
"Payment Services","Platební služba"
"Payment from Applicable Countries","Placení pro použitelné země"
"Payment from Specific Countries","Placení pro vybrané země"
"Payment method code is not set.","Kód platební metody není nastaven."
"Payment method code is undefined.","Kód platební metody není definován."
"Payment profile is invalid:\n%s","Platební profil je neplatný:\n%s"
"Period frequency is wrong.","Četnost opakování je chybná."
"Processor Id","ID zpracování"
"Purchase Order","Objednávka"
"Purchase Order Number","Číslo objednávky"
"Purchase Order Number:","Číslo objednávky:"
"Purchase Order Number: %s","Objednávka číslo: %s"
"Recurring Profile Start Date","Datum zahájení opakovacího profilu"
"Recurring profile start date has invalid format.","Datum zahájení opakovacího profilu má špatný formát."
"Reference ID is not set.","ID okazu není nastaveno."
"Repeats %s time(s).","Opakovat: %s x."
"Repeats until suspended or canceled.","Opakování před pozastavením nebo zrušením."
"Request Card Security Code","Vyžadován bezpečnostní kód karty"
"Saved CC","Uložené kreditní karty"
"Schedule Description","Popis harmonogramu"
"Schedule description must be not empty.","Popis harmonogramu nesmí být prázdný."
"Send Check to","Poslat šek"
"Send Check to:","Poslat šek:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Silné ověření odstraňuje odpovědnost obchodníka za vrácení transakce."
"Shipping Amount","Přepravné"
"Short description of the recurring payment. By default equals to the product name.","Stručný popis opakované platby. Ve výchozím nastavení odpovídá jménu produktu."
"Sort Order","Řazení"
"Start Date","Platná od"
"Start date has invalid format.","Počáteční datum je v chybném formátu."
"Start date is undefined.","Počáteční datum není definováno."
"Subscriber Name","Jméno odběratele"
"Switch/Solo/Maestro Issue Number","Switch/Solo Issue Number"
"Switch/Solo/Maestro Only","Switch/Solo Only"
"Switch/Solo/Maestro Start Date","Switch/Solo Start Date"
"Tax Amount","Výše daně"
"Test Mode","Testovací režim"
"The date when billing for the profile begins.","Datum, kdy účtovací profil začíná."
"The number of billing cycles for payment period.","Počet fakturačních cyklů za platební období."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Počet plánovaných plateb, které mohou selhat, než je profil automaticky pozastaven."
"The payment review action is unavailable.","Akce přezkoumání platby není k dispozici."
"Title","Nadpis"
"Trial Billing Amount","Zkušební fakturační částka"
"Trial Billing Frequency","Četnost zkušební fakturace"
"Trial Billing Period Unit","Jednotka zkušebního fakturačního období"
"Trial Period","Zkušební období "
"Trial billing amount is wrong.","Zkušební fakturační částka je špatná."
"Trial billing period unit is wrong.","Jednotka zkušebního zúčtovacího období je špatná."
"Trial period frequency is wrong.","Zkušební doba četnosti je chybná."
"Trial period max cycles is wrong.","Maximální počet cyklů zkušebního období je chybný."
"Two Weeks","Dva týdny"
"Unable to save Billing Agreement:","Nelze uložit platební podmínky:"
"Unit for billing during the subscription period.","Jednotka pro fakturaci během předplaceného období."
"Unsupported currency code: %s.","Nepodporovaný kód měny %s."
"Week","Týden"
"What is this?","Co to je?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Pozastavit platební profil v případě, že počáteční platba selže a nebo jej přidat do nedoplatku."
"Wrong %s specified.","Špatně %s zadáno."
"Wrong or empty billing amount specified.","Zadána chybná nebo prázdná částka."
"Year","Rok"
"Zero Subtotal Checkout","Nulová celková částka"
"<label>Make Check payable to</label>: %s","<label>Vyrobit šek splatný pro</label>: %s"
"Cannot load configuration for payment method ""%s""","Nelze nastavit platební metodu s kódem: %s"
